Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,dslr-camera,DSLR Camera,Photography,"A versatile DSLR camera body with fast autofocus, 24MP sensor, and full-HD video recording. Perfect for hobbyists and professionals stepping up their photography.",published,https://images.unsplash.com/photo-1571689936008-083b32a9dcca?w=800&q=80,,,,,,,,,,,,,,TRUE,ec-3,,Body Only,DSLR-CAMERA-BODY-ONLY,,FALSE,TRUE,,,,,,,,,,649.99,Kit,Body Only,https://images.unsplash.com/photo-1571689936008-083b32a9dcca?w=800&q=80,https://images.unsplash.com/photo-1571689936008-083b32a9dcca?w=800&q=80
,dslr-camera,DSLR Camera,Photography,"A versatile DSLR camera body with fast autofocus, 24MP sensor, and full-HD video recording. Perfect for hobbyists and professionals stepping up their photography.",published,https://images.unsplash.com/photo-1571689936008-083b32a9dcca?w=800&q=80,,,,,,,,,,,,,,TRUE,ec-3,,With 18-55mm Lens,DSLR-CAMERA-WITH-18-55MM-LENS,,FALSE,TRUE,,,,,,,,,,649.99,Kit,With 18-55mm Lens,https://images.unsplash.com/photo-1571689936008-083b32a9dcca?w=800&q=80,https://images.unsplash.com/photo-1571689936008-083b32a9dcca?w=800&q=80
,leather-laptop-backpack,Leather Laptop Backpack,Accessories,"A handcrafted leather backpack with a padded 15-inch laptop compartment, multiple organizer pockets, and a timeless design for work or travel.",published,https://images.unsplash.com/photo-1603504567672-bc39a18c3371?w=800&q=80,,,,,,,,,,,,,,TRUE,ac-1,,Brown,LEATHER-LAPTOP-BACKPACK-BROWN,,FALSE,TRUE,,,,,,,,,,89.99,Color,Brown,https://images.unsplash.com/photo-1603504567672-bc39a18c3371?w=800&q=80,https://images.unsplash.com/photo-1603504567672-bc39a18c3371?w=800&q=80
,leather-laptop-backpack,Leather Laptop Backpack,Accessories,"A handcrafted leather backpack with a padded 15-inch laptop compartment, multiple organizer pockets, and a timeless design for work or travel.",published,https://images.unsplash.com/photo-1603504567672-bc39a18c3371?w=800&q=80,,,,,,,,,,,,,,TRUE,ac-1,,Black,LEATHER-LAPTOP-BACKPACK-BLACK,,FALSE,TRUE,,,,,,,,,,89.99,Color,Black,https://images.unsplash.com/photo-1603504567672-bc39a18c3371?w=800&q=80,https://images.unsplash.com/photo-1603504567672-bc39a18c3371?w=800&q=80
,mens-running-shoes,Men's Running Shoes,Footwear,"Lightweight running shoes with breathable mesh uppers, responsive cushioning, and a durable rubber outsole built for daily training and long-distance runs.",published,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80,,,,,,,,,,,,,,TRUE,fw-1,,US 7,MEN-S-RUNNING-SHOES-US-7,,FALSE,TRUE,,,,,,,,,,79.99,Size,US 7,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80
,mens-running-shoes,Men's Running Shoes,Footwear,"Lightweight running shoes with breathable mesh uppers, responsive cushioning, and a durable rubber outsole built for daily training and long-distance runs.",published,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80,,,,,,,,,,,,,,TRUE,fw-1,,US 8,MEN-S-RUNNING-SHOES-US-8,,FALSE,TRUE,,,,,,,,,,79.99,Size,US 8,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80
,mens-running-shoes,Men's Running Shoes,Footwear,"Lightweight running shoes with breathable mesh uppers, responsive cushioning, and a durable rubber outsole built for daily training and long-distance runs.",published,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80,,,,,,,,,,,,,,TRUE,fw-1,,US 9,MEN-S-RUNNING-SHOES-US-9,,FALSE,TRUE,,,,,,,,,,79.99,Size,US 9,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80
,mens-running-shoes,Men's Running Shoes,Footwear,"Lightweight running shoes with breathable mesh uppers, responsive cushioning, and a durable rubber outsole built for daily training and long-distance runs.",published,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80,,,,,,,,,,,,,,TRUE,fw-1,,US 10,MEN-S-RUNNING-SHOES-US-10,,FALSE,TRUE,,,,,,,,,,79.99,Size,US 10,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80
,mens-running-shoes,Men's Running Shoes,Footwear,"Lightweight running shoes with breathable mesh uppers, responsive cushioning, and a durable rubber outsole built for daily training and long-distance runs.",published,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80,,,,,,,,,,,,,,TRUE,fw-1,,US 11,MEN-S-RUNNING-SHOES-US-11,,FALSE,TRUE,,,,,,,,,,79.99,Size,US 11,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?w=800&q=80
,mens-leather-jacket,Men's Leather Jacket,Apparel,"A classic black leather jacket with a tailored fit, asymmetric zip closure, and soft quilted lining. A timeless staple for any wardrobe.",published,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80,,,,,,,,,,,,,,TRUE,ap-1,,S,MEN-S-LEATHER-JACKET-S,,FALSE,TRUE,,,,,,,,,,149.99,Size,S,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80
,mens-leather-jacket,Men's Leather Jacket,Apparel,"A classic black leather jacket with a tailored fit, asymmetric zip closure, and soft quilted lining. A timeless staple for any wardrobe.",published,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80,,,,,,,,,,,,,,TRUE,ap-1,,M,MEN-S-LEATHER-JACKET-M,,FALSE,TRUE,,,,,,,,,,149.99,Size,M,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80
,mens-leather-jacket,Men's Leather Jacket,Apparel,"A classic black leather jacket with a tailored fit, asymmetric zip closure, and soft quilted lining. A timeless staple for any wardrobe.",published,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80,,,,,,,,,,,,,,TRUE,ap-1,,L,MEN-S-LEATHER-JACKET-L,,FALSE,TRUE,,,,,,,,,,149.99,Size,L,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80
,mens-leather-jacket,Men's Leather Jacket,Apparel,"A classic black leather jacket with a tailored fit, asymmetric zip closure, and soft quilted lining. A timeless staple for any wardrobe.",published,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80,,,,,,,,,,,,,,TRUE,ap-1,,XL,MEN-S-LEATHER-JACKET-XL,,FALSE,TRUE,,,,,,,,,,149.99,Size,XL,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80,https://images.unsplash.com/photo-1563183939-592da2dbb596?w=800&q=80
,aviator-sunglasses,Aviator Sunglasses,Accessories,"Classic aviator sunglasses with polarized lenses and a lightweight metal frame, offering 100% UV protection and all-day comfort.",published,https://images.unsplash.com/photo-1681147767903-9011e9bf9e83?w=800&q=80,,,,,,,,,,,,,,TRUE,ac-2,,Gold/Green,AVIATOR-SUNGLASSES-GOLD-GREEN,,FALSE,TRUE,,,,,,,,,,34.99,Color,Gold/Green,https://images.unsplash.com/photo-1681147767903-9011e9bf9e83?w=800&q=80,https://images.unsplash.com/photo-1681147767903-9011e9bf9e83?w=800&q=80
,aviator-sunglasses,Aviator Sunglasses,Accessories,"Classic aviator sunglasses with polarized lenses and a lightweight metal frame, offering 100% UV protection and all-day comfort.",published,https://images.unsplash.com/photo-1681147767903-9011e9bf9e83?w=800&q=80,,,,,,,,,,,,,,TRUE,ac-2,,Black/Grey,AVIATOR-SUNGLASSES-BLACK-GREY,,FALSE,TRUE,,,,,,,,,,34.99,Color,Black/Grey,https://images.unsplash.com/photo-1681147767903-9011e9bf9e83?w=800&q=80,https://images.unsplash.com/photo-1681147767903-9011e9bf9e83?w=800&q=80
