Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,espresso-coffee-maker,Espresso Coffee Maker,Home & Kitchen,"A compact espresso machine with a 15-bar pump, milk frother, and fast heat-up time, so you can brew cafe-quality espresso at home.",published,https://images.unsplash.com/photo-1603889780734-c4fb812e65e6?w=800&q=80,4500,35,28,32,851671,IT,,Stainless Steel,,,,,,TRUE,hg-1,,Red,ESPRESSO-COFFEE-MAKER-RED,,FALSE,TRUE,4500,35,28,32,851671,IT,,Stainless Steel,,119.99,Color,Red,https://images.unsplash.com/photo-1603889780734-c4fb812e65e6?w=800&q=80,https://images.unsplash.com/photo-1603889780734-c4fb812e65e6?w=800&q=80
,espresso-coffee-maker,Espresso Coffee Maker,Home & Kitchen,"A compact espresso machine with a 15-bar pump, milk frother, and fast heat-up time, so you can brew cafe-quality espresso at home.",published,https://images.unsplash.com/photo-1603889780734-c4fb812e65e6?w=800&q=80,4500,35,28,32,851671,IT,,Stainless Steel,,,,,,TRUE,hg-1,,Black,ESPRESSO-COFFEE-MAKER-BLACK,,FALSE,TRUE,4500,35,28,32,851671,IT,,Stainless Steel,,119.99,Color,Black,https://images.unsplash.com/photo-1603889780734-c4fb812e65e6?w=800&q=80,https://images.unsplash.com/photo-1603889780734-c4fb812e65e6?w=800&q=80
,ergonomic-office-chair,Ergonomic Office Chair,Home & Office,"An ergonomic office chair with adjustable lumbar support, breathable mesh back, and smooth-rolling casters for all-day comfort at your desk.",published,https://images.unsplash.com/photo-1701937188915-ec0dbcbe3963?w=800&q=80,15000,65,65,120,940130,CN,,Mesh / Steel Frame,,,,,,TRUE,hg-2,,Black,ERGONOMIC-OFFICE-CHAIR-BLACK,,FALSE,TRUE,15000,65,65,120,940130,CN,,Mesh / Steel Frame,,189.99,Color,Black,https://images.unsplash.com/photo-1701937188915-ec0dbcbe3963?w=800&q=80,https://images.unsplash.com/photo-1701937188915-ec0dbcbe3963?w=800&q=80
,ergonomic-office-chair,Ergonomic Office Chair,Home & Office,"An ergonomic office chair with adjustable lumbar support, breathable mesh back, and smooth-rolling casters for all-day comfort at your desk.",published,https://images.unsplash.com/photo-1701937188915-ec0dbcbe3963?w=800&q=80,15000,65,65,120,940130,CN,,Mesh / Steel Frame,,,,,,TRUE,hg-2,,Grey,ERGONOMIC-OFFICE-CHAIR-GREY,,FALSE,TRUE,15000,65,65,120,940130,CN,,Mesh / Steel Frame,,189.99,Color,Grey,https://images.unsplash.com/photo-1701937188915-ec0dbcbe3963?w=800&q=80,https://images.unsplash.com/photo-1701937188915-ec0dbcbe3963?w=800&q=80
,mechanical-gaming-keyboard,Mechanical Gaming Keyboard,Electronics,"A mechanical keyboard with tactile switches, per-key RGB backlighting, and a durable aluminum frame built for gaming and fast typing.",published,https://images.unsplash.com/photo-1545112719-ce81d7de0b71?w=800&q=80,950,44,13,4,847160,CN,,ABS Plastic / Aluminum,,,,,,TRUE,ec-4,,Blue (Clicky),MECHANICAL-GAMING-KEYBOARD-BLUE-CLICKY,,FALSE,TRUE,950,44,13,4,847160,CN,,ABS Plastic / Aluminum,,74.99,Switch Type,Blue (Clicky),https://images.unsplash.com/photo-1545112719-ce81d7de0b71?w=800&q=80,https://images.unsplash.com/photo-1545112719-ce81d7de0b71?w=800&q=80
,mechanical-gaming-keyboard,Mechanical Gaming Keyboard,Electronics,"A mechanical keyboard with tactile switches, per-key RGB backlighting, and a durable aluminum frame built for gaming and fast typing.",published,https://images.unsplash.com/photo-1545112719-ce81d7de0b71?w=800&q=80,950,44,13,4,847160,CN,,ABS Plastic / Aluminum,,,,,,TRUE,ec-4,,Red (Linear),MECHANICAL-GAMING-KEYBOARD-RED-LINEAR,,FALSE,TRUE,950,44,13,4,847160,CN,,ABS Plastic / Aluminum,,74.99,Switch Type,Red (Linear),https://images.unsplash.com/photo-1545112719-ce81d7de0b71?w=800&q=80,https://images.unsplash.com/photo-1545112719-ce81d7de0b71?w=800&q=80
,portable-bluetooth-speaker,Portable Bluetooth Speaker,Audio,"A compact, waterproof Bluetooth speaker with punchy 360-degree sound and up to 12 hours of playtime, perfect for outdoor hangouts and travel.",published,https://images.unsplash.com/photo-1589273705736-1bd0a0bcf116?w=800&q=80,540,18,7,7,851821,CN,,Silicone / Plastic,,,,,,TRUE,ec-5,,Black,PORTABLE-BLUETOOTH-SPEAKER-BLACK,,FALSE,TRUE,540,18,7,7,851821,CN,,Silicone / Plastic,,49.99,Color,Black,https://images.unsplash.com/photo-1589273705736-1bd0a0bcf116?w=800&q=80,https://images.unsplash.com/photo-1589273705736-1bd0a0bcf116?w=800&q=80
,portable-bluetooth-speaker,Portable Bluetooth Speaker,Audio,"A compact, waterproof Bluetooth speaker with punchy 360-degree sound and up to 12 hours of playtime, perfect for outdoor hangouts and travel.",published,https://images.unsplash.com/photo-1589273705736-1bd0a0bcf116?w=800&q=80,540,18,7,7,851821,CN,,Silicone / Plastic,,,,,,TRUE,ec-5,,Blue,PORTABLE-BLUETOOTH-SPEAKER-BLUE,,FALSE,TRUE,540,18,7,7,851821,CN,,Silicone / Plastic,,49.99,Color,Blue,https://images.unsplash.com/photo-1589273705736-1bd0a0bcf116?w=800&q=80,https://images.unsplash.com/photo-1589273705736-1bd0a0bcf116?w=800&q=80
,portable-bluetooth-speaker,Portable Bluetooth Speaker,Audio,"A compact, waterproof Bluetooth speaker with punchy 360-degree sound and up to 12 hours of playtime, perfect for outdoor hangouts and travel.",published,https://images.unsplash.com/photo-1589273705736-1bd0a0bcf116?w=800&q=80,540,18,7,7,851821,CN,,Silicone / Plastic,,,,,,TRUE,ec-5,,Red,PORTABLE-BLUETOOTH-SPEAKER-RED,,FALSE,TRUE,540,18,7,7,851821,CN,,Silicone / Plastic,,49.99,Color,Red,https://images.unsplash.com/photo-1589273705736-1bd0a0bcf116?w=800&q=80,https://images.unsplash.com/photo-1589273705736-1bd0a0bcf116?w=800&q=80
,floral-summer-dress,Floral Summer Dress,Apparel,"A breezy floral V-neck summer dress in lightweight fabric, perfect for warm days, garden parties, or a casual day out.",published,https://images.unsplash.com/photo-1578404449256-0de908ee34ca?w=800&q=80,180,38,28,2,620443,BD,,100% Viscose,,,,,,TRUE,ap-2,,XS,FLORAL-SUMMER-DRESS-XS,,FALSE,TRUE,180,38,28,2,620443,BD,,100% Viscose,,54.99,Size,XS,https://images.unsplash.com/photo-1578404449256-0de908ee34ca?w=800&q=80,https://images.unsplash.com/photo-1578404449256-0de908ee34ca?w=800&q=80
